ICD10	PMSI	diseaseName	Wikidata	UMLS	synonyms	abbreviation
D07.6	PMSI:DIAGNOSTIC-ICD10CHU|D07.6	Carcinome in situ : Organes génitaux de l'homme, autres et non précisés	n/a	n/a	n/a	n/a
D12.5	PMSI:DIAGNOSTIC-ICD10CHU|D12.5	Tumeur bénigne : Côlon sigmoïde	n/a	n/a	n/a	n/a
D12.6	PMSI:DIAGNOSTIC-ICD10CHU|D12.6	Tumeur bénigne : Côlon, sans précision	Q1702335	n/a	n/a	['PAF']
D13.0	PMSI:DIAGNOSTIC-ICD10CHU|D13.0	Tumeur bénigne : Oesophage	n/a	n/a	n/a	n/a
D13.1	PMSI:DIAGNOSTIC-ICD10CHU|D13.1	Tumeur bénigne : Estomac	n/a	n/a	n/a	n/a
D16.9	PMSI:DIAGNOSTIC-ICD10CHU|D16.9	Tumeur bénigne : Os et cartilage articulaire, sans précision	n/a	n/a	n/a	n/a
D17.2	PMSI:DIAGNOSTIC-ICD10CHU|D17.2	Tumeur lipomateuse bénigne de la peau et du tissu sous-cutané des membres	n/a	n/a	n/a	n/a
D19.1	PMSI:DIAGNOSTIC-ICD10CHU|D19.1	Tumeur bénigne du tissu mésothélial du péritoine	n/a	n/a	n/a	n/a
D21.40	PMSI:DIAGNOSTIC-ICD10CHU|D21.40	Tumeur bénigne : Vaisseaux (sanguins) (lymphatiques) de l'abdomen	n/a	n/a	n/a	n/a
D22.4	PMSI:DIAGNOSTIC-ICD10CHU|D22.4	Naevus à mélanocytes du cuir chevelu et du cou	n/a	n/a	n/a	n/a
D22.6	PMSI:DIAGNOSTIC-ICD10CHU|D22.6	Naevus à mélanocytes du membre supérieur, y compris l'épaule	n/a	n/a	n/a	n/a
D29.2	PMSI:DIAGNOSTIC-ICD10CHU|D29.2	Tumeur bénigne : Testicule	n/a	n/a	n/a	n/a
D29.4	PMSI:DIAGNOSTIC-ICD10CHU|D29.4	Tumeur bénigne : Scrotum	n/a	n/a	n/a	n/a
D31.6	PMSI:DIAGNOSTIC-ICD10CHU|D31.6	Tumeur bénigne : Orbite, sans précision	n/a	n/a	n/a	n/a
D37.1	PMSI:DIAGNOSTIC-ICD10CHU|D37.1	Tumeur, évolution imprévisible, inconnue : Estomac	n/a	n/a	n/a	n/a
D38.0	PMSI:DIAGNOSTIC-ICD10CHU|D38.0	Tumeur, évolution imprévisible, inconnue : Larynx	n/a	n/a	n/a	n/a
D38.2	PMSI:DIAGNOSTIC-ICD10CHU|D38.2	Tumeur, évolution imprévisible, inconnue : Plèvre	n/a	n/a	n/a	n/a
D38.3	PMSI:DIAGNOSTIC-ICD10CHU|D38.3	Tumeur, évolution imprévisible, inconnue : Médiastin	n/a	n/a	n/a	n/a
D38.5	PMSI:DIAGNOSTIC-ICD10CHU|D38.5	Tumeur, évolution imprévisible, inconnue : Autres organes respiratoires	n/a	n/a	n/a	n/a
D40.7	PMSI:DIAGNOSTIC-ICD10CHU|D40.7	Tumeur, évolution imprévisible, inconnue : Autres organes génitaux de l'homme	n/a	n/a	n/a	n/a
D43.7	PMSI:DIAGNOSTIC-ICD10CHU|D43.7	Tumeur, évolution imprévisible, inconnue : Autres parties du système nerveux central	n/a	n/a	n/a	n/a
D44.0	PMSI:DIAGNOSTIC-ICD10CHU|D44.0	Tumeur, évolution imprévisible, inconnue : Thyroïde	n/a	n/a	n/a	n/a
D45	PMSI:DIAGNOSTIC-ICD10CHU|D45	Polyglobulie essentielle	Q948318	n/a	n/a	n/a
D46.1	PMSI:DIAGNOSTIC-ICD10CHU|D46.1	Anémie réfractaire avec sidéroblastes en couronne	n/a	n/a	n/a	n/a
D46.2	PMSI:DIAGNOSTIC-ICD10CHU|D46.2	Anémie réfractaire avec excès de blastes [AREB]	n/a	n/a	n/a	n/a
D46.5	PMSI:DIAGNOSTIC-ICD10CHU|D46.5	Anémie réfractaire avec dysplasie de plusieurs lignées cellulaires	n/a	n/a	n/a	n/a
D46.9	PMSI:DIAGNOSTIC-ICD10CHU|D46.9	Syndrome myélodysplasique, sans précision	n/a	n/a	n/a	n/a
D48.9	PMSI:DIAGNOSTIC-ICD10CHU|D48.9	Tumeur, évolution imprévisible, inconnue, sans précision	Q783644	n/a	n/a	['HNPCC']
D57.2	PMSI:DIAGNOSTIC-ICD10CHU|D57.2	Affections à hématies falciformes [drépanocytaires] hétérozygotes doubles	Q1642147	n/a	n/a	n/a
D58.9	PMSI:DIAGNOSTIC-ICD10CHU|D58.9	Anémie hémolytique héréditaire, sans précision	Q5160435	n/a	n/a	n/a
D67	PMSI:DIAGNOSTIC-ICD10CHU|D67	Hémophilie B (F IX)	Q2562598	n/a	n/a	n/a
D68.0	PMSI:DIAGNOSTIC-ICD10CHU|D68.0	Maladie de von Willebrand	Q709360	n/a	n/a	['MW']
D73.1	PMSI:DIAGNOSTIC-ICD10CHU|D73.1	Hypersplénisme	Q473456	n/a	n/a	n/a
D73.4	PMSI:DIAGNOSTIC-ICD10CHU|D73.4	Kyste de la rate	n/a	n/a	n/a	n/a
D76.2	PMSI:DIAGNOSTIC-ICD10CHU|D76.2	Syndrome hémophagocytaire associé à une infection	n/a	n/a	n/a	n/a
D77	PMSI:DIAGNOSTIC-ICD10CHU|D77	Autres maladies du sang et des organes hématopoïétiques au cours de maladies classées ailleurs	n/a	n/a	n/a	n/a
D80.9	PMSI:DIAGNOSTIC-ICD10CHU|D80.9	Déficit immunitaire avec déficit prédominant de la production d'anticorps, sans précision	n/a	n/a	n/a	n/a
D86.8	PMSI:DIAGNOSTIC-ICD10CHU|D86.8	Sarcoïdose de localisations autres et associées	n/a	n/a	n/a	n/a
D89.0	PMSI:DIAGNOSTIC-ICD10CHU|D89.0	Hypergammaglobulinémie polyclonale	n/a	n/a	n/a	n/a
E01.8	PMSI:DIAGNOSTIC-ICD10CHU|E01.8	Autres affections thyroïdiennes et apparentées liées à une carence en iode	n/a	n/a	n/a	n/a
E04.0	PMSI:DIAGNOSTIC-ICD10CHU|E04.0	Goitre diffus non toxique	n/a	n/a	n/a	n/a
E05.5	PMSI:DIAGNOSTIC-ICD10CHU|E05.5	Crise aigue thyréotoxique	Q4458080	n/a	n/a	n/a
E10.7	PMSI:DIAGNOSTIC-ICD10CHU|E10.7	Diabète sucré de type 1, avec complications multiples	n/a	n/a	n/a	n/a
E10.9	PMSI:DIAGNOSTIC-ICD10CHU|E10.9	Diabète sucré de type 1, sans complication	n/a	n/a	n/a	n/a
E11.7	PMSI:DIAGNOSTIC-ICD10CHU|E11.7	Diabète sucré non insulino-dépendant, complications multiples	n/a	n/a	n/a	n/a
E11.98	PMSI:DIAGNOSTIC-ICD10CHU|E11.98	Diabète sucré de type 2 non insulinotraité ou sans précision, sans complication	n/a	n/a	n/a	n/a
E13.4	PMSI:DIAGNOSTIC-ICD10CHU|E13.4	Autres diabètes sucrés précisés, complications neurologiques$	n/a	n/a	n/a	n/a
E26.9	PMSI:DIAGNOSTIC-ICD10CHU|E26.9	Hyperaldostéronisme, sans précision	Q1640860	n/a	n/a	n/a
E30.8	PMSI:DIAGNOSTIC-ICD10CHU|E30.8	Autres anomalies de la puberté	n/a	n/a	n/a	n/a
E55.0	PMSI:DIAGNOSTIC-ICD10CHU|E55.0	Rachitisme évolutif	Q183392	n/a	n/a	n/a
E66.00	PMSI:DIAGNOSTIC-ICD10CHU|E66.00	Obésité due à un excès calorique de l'adulte avec IMC [30 - 40[, ou obésité due à un excès calorique de l'enfant	n/a	n/a	n/a	n/a
E66.09	PMSI:DIAGNOSTIC-ICD10CHU|E66.09	Obésité due à un excès calorique de l'adulte, IMC non précisé	n/a	n/a	n/a	n/a
E66.14	PMSI:DIAGNOSTIC-ICD10CHU|E66.14	Obésité médicamenteuse de l'adulte avec IMC [30 - 35[, ou obésité médicamenteuse de l'enfant	n/a	n/a	n/a	n/a
E66.24	PMSI:DIAGNOSTIC-ICD10CHU|E66.24	Obésité (extrême) avec hypoventilation alvéolaire de l'adulte avec IMC [30 - 35[, ou obésité (extrême) avec hypoventilation alvéolaire de l'enfant	n/a	n/a	n/a	n/a
E66.85	PMSI:DIAGNOSTIC-ICD10CHU|E66.85	Autres obésités de l'adulte avec IMC [35 - 40[	n/a	n/a	n/a	n/a
E68	PMSI:DIAGNOSTIC-ICD10CHU|E68	Séquelles d'excès d'apport	n/a	n/a	n/a	n/a
E75.6	PMSI:DIAGNOSTIC-ICD10CHU|E75.6	Anomalie du stockage des lipides, sans précision	Q3540902	n/a	n/a	n/a
E80.0	PMSI:DIAGNOSTIC-ICD10CHU|E80.0	Porphyrie érythropoïétique héréditaire	Q1759600	n/a	n/a	n/a
E84.8	PMSI:DIAGNOSTIC-ICD10CHU|E84.8	Mucoviscidose - Fibrose kystique, avec autres manifestations	Q178194	n/a	n/a	['FK']
E84.9	PMSI:DIAGNOSTIC-ICD10CHU|E84.9	Mucoviscidose - Fibrose kystique, sans précision	Q178194	n/a	n/a	['FK']
E87.3	PMSI:DIAGNOSTIC-ICD10CHU|E87.3	Alcalose	n/a	n/a	n/a	n/a
F00.000	PMSI:DIAGNOSTIC-ICD10CHU|F00.000	Démence légère, maladie d'Alzheimer, à début précoce, sans symptôme supplémentaire	n/a	n/a	n/a	n/a
F00.031	PMSI:DIAGNOSTIC-ICD10CHU|F00.031	Démence moyenne, maladie d'Alzheimer, à début précoce, symptômes essentiellement dépressifs	n/a	n/a	n/a	n/a
F00.10	PMSI:DIAGNOSTIC-ICD10CHU|F00.10	Démence, maladie d'Alzheimer, à début tardif, sans symptôme supplémentaire	n/a	n/a	n/a	n/a
F00.13	PMSI:DIAGNOSTIC-ICD10CHU|F00.13	Démence, maladie d'Alzheimer, à début tardif, symptômes essentiellement dépressifs	n/a	n/a	n/a	n/a
F00.210	PMSI:DIAGNOSTIC-ICD10CHU|F00.210	Démence légère, maladie d'Alzheimer, atypique ou mixte, symptômes essentiellement délirants	n/a	n/a	n/a	n/a
F00.9	PMSI:DIAGNOSTIC-ICD10CHU|F00.9	Démence, maladie d'Alzheimer, sans précision* (G309$)	n/a	n/a	n/a	n/a
F00.921	PMSI:DIAGNOSTIC-ICD10CHU|F00.921	Démence moyenne, maladie d'Alzheimer, sans précision, symptômes essentiellement hallucinatoires	n/a	n/a	n/a	n/a
F00.94	PMSI:DIAGNOSTIC-ICD10CHU|F00.94	Démence, maladie d'Alzheimer, sans précision, symptômes mixtes	n/a	n/a	n/a	n/a
F00.940	PMSI:DIAGNOSTIC-ICD10CHU|F00.940	Démence Alzheimer, Légère, Début SP, avec symptômes mixtes	n/a	n/a	n/a	n/a
F01.0	PMSI:DIAGNOSTIC-ICD10CHU|F01.0	Démence vasculaire à début aigu	n/a	n/a	n/a	n/a
F01.031	PMSI:DIAGNOSTIC-ICD10CHU|F01.031	Démence vasculaire moyenne à début aigu, symptômes essentiellement dépressifs	n/a	n/a	n/a	n/a
F01.22	PMSI:DIAGNOSTIC-ICD10CHU|F01.22	Démence vasculaire souscorticale, symptômes essentiellement hallucinatoires	n/a	n/a	n/a	n/a
F01.31	PMSI:DIAGNOSTIC-ICD10CHU|F01.31	Démence vasculaire mixte (cortex, souscortex), symptômes essentiellement délirants	n/a	n/a	n/a	n/a
F01.310	PMSI:DIAGNOSTIC-ICD10CHU|F01.310	Démence vasculaire mixte (cortex, souscortex), légère, symptômes essentiellement délirants	n/a	n/a	n/a	n/a
F01.341	PMSI:DIAGNOSTIC-ICD10CHU|F01.341	Démence vasculaire mixte (cortex, souscortex), moyenne, avec d'autres symptômes, mixtes	n/a	n/a	n/a	n/a
F01.831	PMSI:DIAGNOSTIC-ICD10CHU|F01.831	Autres formes de démence vasculaire moyenne, symptômes essentiellement dépressifs	n/a	n/a	n/a	n/a
I78.9	PMSI:DIAGNOSTIC-ICD10CHU|I78.9	Maladie des capillaires, sans précision	Q18554363	n/a	n/a	n/a
I80.0	PMSI:DIAGNOSTIC-ICD10CHU|I80.0	Phlébite et thrombophlébite des veines superficielles des membres inférieurs	Q377978	n/a	n/a	n/a
I82.1	PMSI:DIAGNOSTIC-ICD10CHU|I82.1	Thrombophlébite migratrice	Q2088392	n/a	n/a	n/a
I84.0	PMSI:DIAGNOSTIC-ICD10CHU|I84.0	Hémorroïdes internes thrombosées	n/a	n/a	n/a	n/a
I84.6	PMSI:DIAGNOSTIC-ICD10CHU|I84.6	Cicatrices hémorroïdaires cutanées résiduelles	n/a	n/a	n/a	n/a
I85.0	PMSI:DIAGNOSTIC-ICD10CHU|I85.0	Varices oesophagiennes hémorragiques	n/a	n/a	n/a	n/a
I86.2	PMSI:DIAGNOSTIC-ICD10CHU|I86.2	Varices pelviennes	Q18558211	n/a	n/a	n/a
I87.8	PMSI:DIAGNOSTIC-ICD10CHU|I87.8	Autres atteintes veineuses précisées	n/a	n/a	n/a	n/a
I87.9	PMSI:DIAGNOSTIC-ICD10CHU|I87.9	Atteinte veineuse, sans précision	n/a	n/a	n/a	n/a
I95.2	PMSI:DIAGNOSTIC-ICD10CHU|I95.2	Hypotension médicamenteuse	n/a	n/a	n/a	n/a
J01.9	PMSI:DIAGNOSTIC-ICD10CHU|J01.9	Sinusite aiguë, SP	Q183344	n/a	n/a	n/a
J03.8	PMSI:DIAGNOSTIC-ICD10CHU|J03.8	Amygdalite aigüe due à d'autres micro-organismes précisés	n/a	n/a	n/a	n/a
J03.9	PMSI:DIAGNOSTIC-ICD10CHU|J03.9	Amygdalite aigüe, sans précision	n/a	n/a	n/a	n/a
J15.0	PMSI:DIAGNOSTIC-ICD10CHU|J15.0	Pneumopathie Klebsiella pneumoniae	Q3197774	n/a	n/a	n/a
J21.0	PMSI:DIAGNOSTIC-ICD10CHU|J21.0	Bronchiolite aigüe due au virus respiratoire syncytial [VRS]	n/a	n/a	n/a	n/a
J31.1	PMSI:DIAGNOSTIC-ICD10CHU|J31.1	Rhinopharyngite chronique	Q18553870	n/a	n/a	n/a
J32.1	PMSI:DIAGNOSTIC-ICD10CHU|J32.1	Sinusite frontale chronique	Q18553935	n/a	n/a	n/a
J34.1	PMSI:DIAGNOSTIC-ICD10CHU|J34.1	Kyste et mucocèle du nez et des sinus du nez	n/a	n/a	n/a	n/a
J38.2	PMSI:DIAGNOSTIC-ICD10CHU|J38.2	Nodules des cordes vocales	n/a	n/a	n/a	n/a
J38.3	PMSI:DIAGNOSTIC-ICD10CHU|J38.3	Autres maladies des cordes vocales	n/a	n/a	n/a	n/a
J44.0	PMSI:DIAGNOSTIC-ICD10CHU|J44.0	BPCO + surinfection voies respi inférieures	n/a	n/a	n/a	n/a
J44.9	PMSI:DIAGNOSTIC-ICD10CHU|J44.9	BPCO, SP	Q199804	n/a	n/a	['BPCO', 'EAMPOC', 'MPOC']
J63.0	PMSI:DIAGNOSTIC-ICD10CHU|J63.0	Aluminose (du poumon)	n/a	n/a	n/a	n/a
J67.9	PMSI:DIAGNOSTIC-ICD10CHU|J67.9	Pneumopathie par hypersensibilité aux poussières organiques, sans précision	Q35890	n/a	n/a	['AAE', 'PHS']
J68.8	PMSI:DIAGNOSTIC-ICD10CHU|J68.8	Autres affections respiratoires dues à des agents chimiques, des émanations, des fumées et des gaz	n/a	n/a	n/a	n/a
J70.1	PMSI:DIAGNOSTIC-ICD10CHU|J70.1	Affections pulmonaires chroniques et autres dues à une irradiation	n/a	n/a	n/a	n/a
J84.9	PMSI:DIAGNOSTIC-ICD10CHU|J84.9	Affection pulmonaire interstitielle, sans précision	Q1153419	n/a	n/a	['PID']
J85.2	PMSI:DIAGNOSTIC-ICD10CHU|J85.2	Abcès du poumon sans pneumopathie	Q1877550	n/a	n/a	n/a
J91	PMSI:DIAGNOSTIC-ICD10CHU|J91	Epanchement pleural au cours de maladies classées ailleurs	n/a	n/a	n/a	n/a
J93.9	PMSI:DIAGNOSTIC-ICD10CHU|J93.9	Pneumothorax non traumatique, SP	n/a	n/a	n/a	n/a
J95.2	PMSI:DIAGNOSTIC-ICD10CHU|J95.2	Insuffisance pulmonaire aigüe consécutive à une intervention chirurgicale non thoracique	n/a	n/a	n/a	n/a
J96.0	PMSI:DIAGNOSTIC-ICD10CHU|J96.0	Détresse respiratoire aiguë	Q767485	n/a	n/a	n/a
J98.3	PMSI:DIAGNOSTIC-ICD10CHU|J98.3	Emphysème compensateur	Q18553764	n/a	n/a	n/a
K03.2	PMSI:DIAGNOSTIC-ICD10CHU|K03.2	Erosion des dents	Q1361346	n/a	n/a	n/a
K03.8	PMSI:DIAGNOSTIC-ICD10CHU|K03.8	Autres maladies précisées des tissus dentaires durs	Q18555006	n/a	n/a	n/a
K04.8	PMSI:DIAGNOSTIC-ICD10CHU|K04.8	Kyste radiculaire	n/a	n/a	n/a	n/a
K04.9	PMSI:DIAGNOSTIC-ICD10CHU|K04.9	Maladies de la pulpe et des tissus périapicaux, autres et sans précision	n/a	n/a	n/a	n/a
K06.1	PMSI:DIAGNOSTIC-ICD10CHU|K06.1	Hyperplasie gingivale	Q10282075	n/a	n/a	n/a
K07.3	PMSI:DIAGNOSTIC-ICD10CHU|K07.3	Malposition des dents	n/a	n/a	n/a	n/a
K07.4	PMSI:DIAGNOSTIC-ICD10CHU|K07.4	Malocclusion, sans précision	n/a	n/a	n/a	n/a
K08.9	PMSI:DIAGNOSTIC-ICD10CHU|K08.9	Affection des dents et du parodonte, sans précision	n/a	n/a	n/a	n/a
K11.4	PMSI:DIAGNOSTIC-ICD10CHU|K11.4	Fistule des glandes salivaires	n/a	n/a	n/a	n/a
K11.9	PMSI:DIAGNOSTIC-ICD10CHU|K11.9	Maladie des Glandes salivaires, SP	n/a	n/a	n/a	n/a
K12.3	PMSI:DIAGNOSTIC-ICD10CHU|K12.3	Mucite (ulcéreuse)	n/a	n/a	n/a	n/a
K14.9	PMSI:DIAGNOSTIC-ICD10CHU|K14.9	Maladie de la langue, sans précision	Q7107436	n/a	n/a	n/a
K26.1	PMSI:DIAGNOSTIC-ICD10CHU|K26.1	Ulcère Duodénum, aigu, avec perforation	n/a	n/a	n/a	n/a
K28.1	PMSI:DIAGNOSTIC-ICD10CHU|K28.1	Ulcère gastro-duodénal aigu, avec perforation	n/a	n/a	n/a	n/a
K28.3	PMSI:DIAGNOSTIC-ICD10CHU|K28.3	Ulcère gastro-duodénal aigu, sans hémorragie ni perforation	n/a	n/a	n/a	n/a
K29.4	PMSI:DIAGNOSTIC-ICD10CHU|K29.4	Gastrite chronique atrophique	Q1826391	n/a	n/a	n/a
K29.9	PMSI:DIAGNOSTIC-ICD10CHU|K29.9	Gastro-duodénite, sans précision	n/a	n/a	n/a	n/a
K31.9	PMSI:DIAGNOSTIC-ICD10CHU|K31.9	Maladie de l'estomac et du duodénum, sans précision	n/a	n/a	n/a	n/a
K44.0	PMSI:DIAGNOSTIC-ICD10CHU|K44.0	Hernie diaphragmatique avec occlusion, sans gangrène	n/a	n/a	n/a	n/a
K46.1	PMSI:DIAGNOSTIC-ICD10CHU|K46.1	Hernie abdominale non précisée, avec gangrène	n/a	n/a	n/a	n/a
K51.5	PMSI:DIAGNOSTIC-ICD10CHU|K51.5	Colite ulcéreuse gauche	n/a	n/a	n/a	n/a
K55.8	PMSI:DIAGNOSTIC-ICD10CHU|K55.8	Autres troubles vasculaires de l'intestin	n/a	n/a	n/a	n/a
K59.0	PMSI:DIAGNOSTIC-ICD10CHU|K59.0	Constipation	Q178436	n/a	n/a	['CF']
K61.0	PMSI:DIAGNOSTIC-ICD10CHU|K61.0	Abcès anal	n/a	n/a	n/a	n/a
K71.2	PMSI:DIAGNOSTIC-ICD10CHU|K71.2	Hépatite médicamenteuse / Maladie toxique du foie	n/a	n/a	n/a	n/a
K71.4	PMSI:DIAGNOSTIC-ICD10CHU|K71.4	Maladie toxique du foie avec hépatite chronique lobulaire	n/a	n/a	n/a	n/a
K71.6	PMSI:DIAGNOSTIC-ICD10CHU|K71.6	Maladie toxique du foie avec hépatite, non classée ailleurs	n/a	n/a	n/a	n/a
K74.0	PMSI:DIAGNOSTIC-ICD10CHU|K74.0	Fibrose hépatique	n/a	n/a	n/a	n/a
K76.2	PMSI:DIAGNOSTIC-ICD10CHU|K76.2	Nécrose hémorragique centrale du foie	n/a	n/a	n/a	n/a
K76.3	PMSI:DIAGNOSTIC-ICD10CHU|K76.3	Infarctus hépatique	Q18554589	n/a	n/a	n/a
K77.8	PMSI:DIAGNOSTIC-ICD10CHU|K77.8	Atteintes hépatiques au cours d'autres maladies classées ailleurs	n/a	n/a	n/a	n/a
K80.0	PMSI:DIAGNOSTIC-ICD10CHU|K80.0	Calcul de la Vésicule Biliaire, avec Cholécystite	n/a	n/a	n/a	n/a
K80.5	PMSI:DIAGNOSTIC-ICD10CHU|K80.5	Calcul des canaux biliaires	n/a	n/a	n/a	n/a
K83.2	PMSI:DIAGNOSTIC-ICD10CHU|K83.2	Perforation des voies biliaires	Q18554514	n/a	n/a	n/a
K85	PMSI:DIAGNOSTIC-ICD10CHU|K85	Pancréatite aiguë	Q854573	n/a	n/a	n/a
K85.1	PMSI:DIAGNOSTIC-ICD10CHU|K85.1	Pancréatite aiguë, origine biliaire	n/a	n/a	n/a	n/a
K87.00	PMSI:DIAGNOSTIC-ICD10CHU|K87.00	Cholangite à cytomégalovirus (B258)	n/a	n/a	n/a	n/a
K93.838	PMSI:DIAGNOSTIC-ICD10CHU|K93.838	Atteintes du rectum au cours d'autres maladies classées ailleurs	n/a	n/a	n/a	n/a
L02.0	PMSI:DIAGNOSTIC-ICD10CHU|L02.0	Abcès cutané, furoncle et anthrax de la face	n/a	n/a	n/a	n/a
L03.1	PMSI:DIAGNOSTIC-ICD10CHU|L03.1	Phlegmon autre partie d'un membre	n/a	n/a	n/a	n/a
L05.0	PMSI:DIAGNOSTIC-ICD10CHU|L05.0	Kyste du sinus pilonidal avec abcès	n/a	n/a	n/a	n/a
L08.0	PMSI:DIAGNOSTIC-ICD10CHU|L08.0	Pyodermite	Q2119633	n/a	n/a	n/a
L10.4	PMSI:DIAGNOSTIC-ICD10CHU|L10.4	Pemphigus érythémateux	n/a	n/a	n/a	n/a
L11.9	PMSI:DIAGNOSTIC-ICD10CHU|L11.9	Acantholyse, sans précision	n/a	n/a	n/a	n/a
L12.9	PMSI:DIAGNOSTIC-ICD10CHU|L12.9	Pemphigoïde, sans précision	Q1004647	n/a	n/a	n/a
L23.2	PMSI:DIAGNOSTIC-ICD10CHU|L23.2	Dermite allergique de contact due aux cosmétiques	n/a	n/a	n/a	n/a
L24.0	PMSI:DIAGNOSTIC-ICD10CHU|L24.0	Dermite irritante de contact due aux détergents	n/a	n/a	n/a	n/a
L24.3	PMSI:DIAGNOSTIC-ICD10CHU|L24.3	Dermite irritante de contact due aux cosmétiques	n/a	n/a	n/a	n/a
L24.5	PMSI:DIAGNOSTIC-ICD10CHU|L24.5	Dermite irritante de contact due à d'autres produits chimiques	n/a	n/a	n/a	n/a
L25.8	PMSI:DIAGNOSTIC-ICD10CHU|L25.8	Dermite de contact, sans précision, due à d'autres agents	n/a	n/a	n/a	n/a
L28.0	PMSI:DIAGNOSTIC-ICD10CHU|L28.0	Lichen simplex chronique	Q28026070	n/a	n/a	n/a
L40.0	PMSI:DIAGNOSTIC-ICD10CHU|L40.0	Psoriasis vulgaris	n/a	n/a	n/a	n/a
L43.0	PMSI:DIAGNOSTIC-ICD10CHU|L43.0	Lichen plan hypertrophique	n/a	n/a	n/a	n/a
L43.3	PMSI:DIAGNOSTIC-ICD10CHU|L43.3	Lichen plan subaigu (actif)	n/a	n/a	n/a	n/a
L43.8	PMSI:DIAGNOSTIC-ICD10CHU|L43.8	Autres lichens plans	n/a	n/a	n/a	n/a
L43.9	PMSI:DIAGNOSTIC-ICD10CHU|L43.9	Lichen plan, sans précision	Q848371	n/a	n/a	n/a
L50.5	PMSI:DIAGNOSTIC-ICD10CHU|L50.5	Urticaire cholinergique	Q3820071	n/a	n/a	n/a
F01.832	PMSI:DIAGNOSTIC-ICD10CHU|F01.832	Autres formes de démence vasculaire sévère, symptômes essentiellement dépressifs	n/a	n/a	n/a	n/a
F02.0	PMSI:DIAGNOSTIC-ICD10CHU|F02.0	Démence de la maladie de Pick* (G310$)	n/a	n/a	n/a	n/a
F02.23	PMSI:DIAGNOSTIC-ICD10CHU|F02.23	Démence de la maladie de Huntington, symptômes essentiellement dépressifs	n/a	n/a	n/a	n/a
F02.34	PMSI:DIAGNOSTIC-ICD10CHU|F02.34	Démence de la maladie de Parkinson, symptômes mixtes	n/a	n/a	n/a	n/a
F02.341	PMSI:DIAGNOSTIC-ICD10CHU|F02.341	Démence moyenne de la maladie de Parkinson, symptômes mixtes	n/a	n/a	n/a	n/a
F02.421	PMSI:DIAGNOSTIC-ICD10CHU|F02.421	Démence moyenne due au VIH, symptômes essentiellement hallucinatoires	n/a	n/a	n/a	n/a
F02.800	PMSI:DIAGNOSTIC-ICD10CHU|F02.800	Démence légère associée à d'autres maladies CA, sans symptôme supplémentaire	n/a	n/a	n/a	n/a
F06.3	PMSI:DIAGNOSTIC-ICD10CHU|F06.3	Trouble de l'humeur, du à  une lésion organique cérébrale	n/a	n/a	n/a	n/a
F06.4	PMSI:DIAGNOSTIC-ICD10CHU|F06.4	Trouble anxieux organique	n/a	n/a	n/a	n/a
F07.9	PMSI:DIAGNOSTIC-ICD10CHU|F07.9	Trouble organique personnalité, comportement : affection, lésion, dysfonctionnement cérébraux SAI	n/a	n/a	n/a	n/a
F10.31	PMSI:DIAGNOSTIC-ICD10CHU|F10.31	Sd de sevrage OH + convulsions	n/a	n/a	n/a	n/a
F10.41	PMSI:DIAGNOSTIC-ICD10CHU|F10.41	Delirium Tremens + convulsions	n/a	n/a	n/a	n/a
F10.51	PMSI:DIAGNOSTIC-ICD10CHU|F10.51	Trouble psychotique avec idées délirantes au premier plan : alcool	n/a	n/a	n/a	n/a
F10.6	PMSI:DIAGNOSTIC-ICD10CHU|F10.6	Syndrome amnésique lié à l'utilisation d'alcool	n/a	n/a	n/a	n/a
F10.75	PMSI:DIAGNOSTIC-ICD10CHU|F10.75	Trouble psychotique à début tardif : alcool	n/a	n/a	n/a	n/a
F11.0	PMSI:DIAGNOSTIC-ICD10CHU|F11.0	Troubles mentaux liés opiacés, intox aigüe	n/a	n/a	n/a	n/a
F11.04	PMSI:DIAGNOSTIC-ICD10CHU|F11.04	Troubles mentaux-comportement, intox aigüe : opiacés, distorsion des perceptions	n/a	n/a	n/a	n/a
F11.202	PMSI:DIAGNOSTIC-ICD10CHU|F11.202	Syndrome de dépendance, opiacés, actuel abstinent en rémission complète	n/a	n/a	n/a	n/a
F11.26	PMSI:DIAGNOSTIC-ICD10CHU|F11.26	Syndrome de dépendance, opiacés, utilisation épisodique	n/a	n/a	n/a	n/a
F11.56	PMSI:DIAGNOSTIC-ICD10CHU|F11.56	Trouble psychotique mixte, dû aux opiacés	n/a	n/a	n/a	n/a
F11.74	PMSI:DIAGNOSTIC-ICD10CHU|F11.74	Autre déficit cognitif persistant ou de survenue tardive, dû aux opiacés	n/a	n/a	n/a	n/a
F12.06	PMSI:DIAGNOSTIC-ICD10CHU|F12.06	Troubles mentaux-comportement, intox aigüe : cannabis, convulsions	n/a	n/a	n/a	n/a
F12.30	PMSI:DIAGNOSTIC-ICD10CHU|F12.30	Syndrome de sevrage : cannabis, sans complication	n/a	n/a	n/a	n/a
F12.56	PMSI:DIAGNOSTIC-ICD10CHU|F12.56	Trouble psychotique mixte : cannabis	n/a	n/a	n/a	n/a
F13.02	PMSI:DIAGNOSTIC-ICD10CHU|F13.02	Troubles mentaux-comportement, intox aigüe : sédatifs-hypnotiques, autres complications	n/a	n/a	n/a	n/a
F13.202	PMSI:DIAGNOSTIC-ICD10CHU|F13.202	Syndrome de dépendance, sédatifs-hypnotiques, actuel abstinent en rémission complète	n/a	n/a	n/a	n/a
